Cross,N,EBV
ZMN00592/ZMN00735,2,43.88639306
ZMN00036/ZMN00735,4,42.88900282
ZMN00547/ZMN00735,17,33.56841383
ZMN00587/ZMN01103,7,31.73819245
ZMN00592/ZMN00739,1,30.95357243
ZMN00036/ZMN00739,19,29.95618219
ZMN00592/ZMN01260,68,29.72884768
ZMN00592/ZMN00741,38,26.57712965
ZMN00039/ZMN01259,568,25.91352676
ZMN00548/ZMN00735,6,25.72542881
ZMN00545/ZMN00739,81,24.99156167
ZMN01263/ZMN01265,197,24.931032
ZMN00039/ZMN00739,158,24.450083
ZMN01057/ZMN01259,110,24.31958315
ZMN00762/ZMN01265,114,23.88435274
ZMN00545/ZMN01260,34,23.76683693
ZMN00039/ZMN00789,18,23.65777517
ZMN00545/ZMN00587,105,22.8165963
ZMN01103/ZMN01263,8,22.77005815
ZMN00039/ZMN00587,79,22.27511763
ZMN00545/ZMN00626,1,22.19404609
ZMN00547/ZMN01259,313,22.09903696
ZMN00762/ZMN01103,488,21.72337889
ZMN00547/ZMN00739,13,20.6355932
ZMN00545/ZMN00741,54,20.6151189
ZMN00592/ZMN01263,1501,19.81047276
ZMN00036/ZMN00768,9,19.36266813
ZMN00587/ZMN01258,99,19.21460621
ZMN00545/ZMN00548,72,19.16317453
ZMN00036/ZMN01263,1,18.81308252
ZMN00592/ZMN00762,471,18.76379349
ZMN00739/ZMN00789,96,17.82868749
ZMN00039/ZMN01087,100,16.32636596
ZMN00547/ZMN00741,14,16.25915042
ZMN00545/ZMN00811,11,16.09223518
ZMN00587/ZMN00789,69,15.65372211
ZMN00587/ZMN01056,40,15.56198949
ZMN00194/ZMN00739,12,14.7130341
ZMN00545/ZMN00768,6,14.39804762
ZMN00739/ZMN00741,11,14.24455255
ZMN00762/ZMN01096,558,14.20854997
ZMN00039/ZMN00768,30,13.85656895
ZMN00741/ZMN00789,11,13.45224471
ZMN00039/ZMN01263,123,13.30698334
ZMN00545/ZMN00762,50,12.80178274
ZMN00548/ZMN00739,9,12.79260818
ZMN00547/ZMN01087,51,12.51187616
ZMN00154/ZMN00739,97,12.50640581
ZMN00587/ZMN00741,40,12.06958718
ZMN00154/ZMN00789,1,11.71409797
ZMN00390/ZMN00739,51,11.21018408
ZMN00762/ZMN01057,36,10.66636046
ZMN00547/ZMN00768,4,10.04207914
ZMN00548/ZMN00626,8,9.995092594
ZMN01084/ZMN01260,96,9.714245535
ZMN00547/ZMN01263,105,9.492493533
ZMN00762/ZMN01258,470,9.199792652
ZMN00587/ZMN01084,74,8.764004909
ZMN00547/ZMN00762,651,8.44581427
ZMN00587/ZMN00755,16,8.323457148
ZMN00587/ZMN01087,55,8.322312913
ZMN00154/ZMN00741,94,8.129963032
ZMN00762/ZMN01259,690,7.894660151
ZMN00587/ZMN00913,14,7.501263167
ZMN00626/ZMN00811,59,6.924153251
ZMN00789/ZMN01263,70,6.685587817
ZMN00739/ZMN00762,253,6.431216393
ZMN00762/ZMN00789,116,5.638908554
ZMN00762/ZMN01260,146,5.206491648
ZMN00762/ZMN01254,271,4.397518978
ZMN00548/ZMN00811,1,3.893281687
ZMN00741/ZMN00768,92,3.651038491
ZMN00548/ZMN00768,15,2.199094121
ZMN00741/ZMN00762,43,2.054773616
ZMN00154/ZMN00768,17,1.912891753
ZMN01084/ZMN01263,127,-0.204129388
ZMN01087/ZMN01263,1,-0.645821384
ZMN00762/ZMN01087,46,-1.692500648
ZMN00762/ZMN00913,103,-2.513550393
ZMN01261/ZMN01263,81,-2.677193784
ZMN00762/ZMN01261,156,-3.723873047
ZMN00762/ZMN00768,776,-4.162297663
ZMN00762/ZMN01064,51,-5.896256664
ZMN00762/ZMN00769,147,-8.973079487
ZMN00627/ZMN00762,51,-10.18868872
